date,campaign,channel,spend,impressions,clicks,conversions,revenue
2025-10-10,Content Sprint,Google Ads,4107.0,112525,4543,336,20217.64
2025-10-14,Lookalike Scale,Display,156.41,36387,143,2,306.68
2025-06-11,Display Remarketing,YouTube,1016.1,60673,927,14,2837.74
2025-05-10,Summer Sale Blitz,Email,10516.2,242821,13539,967,69965.86
2025-02-26,Holiday Flash Promo,YouTube,2507.83,172346,3704,66,8168.67
2025-03-11,Display Remarketing,Display,126.28,36830,145,1,224.0
2025-10-31,Display Remarketing,Display,618.28,202167,1040,16,1123.57
2025-01-03,Holiday Flash Promo,Display,886.27,197796,1145,10,1236.84
2025-02-21,Brand Awareness Push,Google Ads,716.08,33059,880,65,3549.07
2025-07-22,Summer Sale Blitz,YouTube,1314.84,142005,2382,43,3667.15
2025-11-08,Summer Sale Blitz,SEO,2000.43,62315,1967,154,9879.26
2025-10-14,Loyalty Win-back,YouTube,820.26,167756,2166,48,2197.14
2025-09-21,Content Sprint,Display,573.48,118159,521,7,1039.68
2025-05-20,Brand Awareness Push,Meta Ads,643.24,78870,1623,37,1596.33
2025-11-28,Display Remarketing,LinkedIn,1421.69,176428,1437,57,2774.94
2025-04-10,Summer Sale Blitz,Display,65.05,28615,130,2,109.03
2025-03-06,Display Remarketing,YouTube,3056.62,214870,3062,53,11703.9
2025-08-26,Content Sprint,Google Ads,765.12,25688,912,57,3934.7
2025-02-07,Retarget Cart Abandon,Email,4866.78,148972,7258,446,34007.05
2025-01-09,Retarget Cart Abandon,LinkedIn,1518.78,239847,1610,52,5769.32
2025-12-09,Retarget Cart Abandon,YouTube,723.03,145073,948,20,1840.1
2025-01-08,LinkedIn ABM Campaign,Meta Ads,1903.14,207441,4527,173,5325.92
2025-04-13,Brand Awareness Push,Google Ads,11471.03,166558,8165,505,42012.12
2025-01-14,Retarget Cart Abandon,Meta Ads,3498.59,140938,4534,144,12866.33
2025-04-17,Content Sprint,Email,3538.73,131188,7531,503,16562.14
2025-12-29,Retarget Cart Abandon,SEO,10881.03,223460,12778,930,74105.06
2025-10-09,LinkedIn ABM Campaign,Google Ads,5677.47,167107,7253,481,20578.05
2025-03-29,Summer Sale Blitz,SEO,1821.36,35075,2057,137,7657.71
2025-04-24,Loyalty Win-back,Meta Ads,1488.58,195464,3699,147,5913.59
2025-02-18,Summer Sale Blitz,Meta Ads,1410.95,171026,1750,69,3605.75
2025-10-21,Summer Sale Blitz,SEO,3073.34,180274,4940,348,19924.4
2025-08-30,LinkedIn ABM Campaign,YouTube,2797.95,239127,3218,53,8400.6
2025-02-08,Holiday Flash Promo,Display,330.46,39383,208,5,498.35
2025-06-20,Content Sprint,YouTube,2963.99,197267,2979,77,4904.14
2025-07-13,Holiday Flash Promo,LinkedIn,1394.53,153473,1198,28,2364.87
2025-04-01,Brand Awareness Push,YouTube,421.94,62982,639,18,1133.51
2025-02-23,Retarget Cart Abandon,LinkedIn,860.02,207042,1403,39,1908.77
2025-02-26,Display Remarketing,Email,841.98,33295,1816,135,5712.59
2025-09-06,New Customer Acquisition,YouTube,1801.52,101439,1545,31,5555.11
2025-03-08,New Customer Acquisition,YouTube,631.27,63002,1343,37,1423.39
2025-11-01,Retarget Cart Abandon,Google Ads,932.21,17730,675,22,3480.86
2025-10-20,Lookalike Scale,LinkedIn,1551.61,195971,1786,49,3837.49
2025-11-10,New Customer Acquisition,SEO,2507.36,118385,4566,333,8782.63
2025-06-02,Content Sprint,Meta Ads,565.39,61979,802,39,1383.62
2025-04-19,Holiday Flash Promo,Meta Ads,5928.06,237470,5713,327,24786.64
2025-08-27,Brand Awareness Push,YouTube,2489.01,202075,2619,53,5517.1
2025-09-11,Lookalike Scale,Email,14929.39,215876,12741,1317,106090.64
2025-12-08,Holiday Flash Promo,YouTube,517.5,38664,382,6,1290.97
2025-12-12,Summer Sale Blitz,SEO,1819.21,67078,1913,111,11019.8
2025-06-20,Content Sprint,YouTube,2213.45,133044,1896,41,5660.15
2025-02-13,Holiday Flash Promo,Display,284.32,33690,230,3,528.95
2025-05-02,Holiday Flash Promo,Display,708.11,225099,1191,19,1098.42
2025-02-23,Summer Sale Blitz,SEO,7751.56,234351,7065,479,34974.81
2025-10-12,Content Sprint,LinkedIn,1566.34,122445,1105,44,4175.82
2025-11-07,New Customer Acquisition,Meta Ads,646.25,161083,1688,94,2528.08
2025-10-29,Display Remarketing,Display,302.03,77362,231,2,509.95
2025-02-10,LinkedIn ABM Campaign,YouTube,1874.4,249273,3537,62,5586.05
2025-02-03,Content Sprint,Email,15789.8,224773,14764,973,113962.18
2025-11-29,Brand Awareness Push,Google Ads,5593.29,165785,5262,306,19886.31
2025-03-29,Brand Awareness Push,SEO,7604.04,213105,7255,603,50006.87
2025-11-02,Display Remarketing,Display,69.75,14837,59,1,98.33
2025-09-26,Summer Sale Blitz,Display,284.58,52295,238,4,491.1
2025-08-13,Summer Sale Blitz,Google Ads,277.62,15375,505,16,1190.28
2025-12-24,Lookalike Scale,LinkedIn,650.87,117347,1169,33,1974.69
2025-04-20,Display Remarketing,YouTube,1619.3,146614,2600,47,4572.81
2025-05-28,Loyalty Win-back,Email,7371.77,121171,10677,868,37974.79
2025-08-12,Display Remarketing,Display,612.3,160484,865,10,760.74
2025-01-14,Brand Awareness Push,SEO,5089.58,107508,6542,584,25246.13
2025-08-25,Lookalike Scale,YouTube,2435.99,164846,2665,48,7073.33
2025-05-12,Loyalty Win-back,YouTube,2303.24,130621,2483,50,6451.75
2025-10-19,Brand Awareness Push,Meta Ads,709.55,82040,1356,63,2073.68
2025-05-02,Display Remarketing,YouTube,889.04,47383,818,8,1807.3
2025-05-16,Holiday Flash Promo,LinkedIn,220.16,42635,314,5,784.17
2025-10-09,Display Remarketing,YouTube,1183.34,81185,1268,15,3372.59
2025-03-18,Holiday Flash Promo,Email,13243.13,133646,9046,599,66176.11
2025-11-03,New Customer Acquisition,Meta Ads,2181.95,247628,4951,267,6941.92
2025-06-08,Display Remarketing,Google Ads,1523.2,119985,3710,170,5021.79
2025-04-17,Retarget Cart Abandon,Meta Ads,1846.27,125098,3380,54,4777.66
2025-08-21,Lookalike Scale,Display,577.7,164041,768,11,1054.99
2025-05-04,Loyalty Win-back,SEO,11035.04,211897,9896,744,55929.45
2025-08-03,Retarget Cart Abandon,LinkedIn,1603.07,213317,1322,30,3886.72
2025-03-06,Summer Sale Blitz,LinkedIn,679.77,88019,938,27,1692.78
2025-08-07,Lookalike Scale,Google Ads,324.76,6792,246,11,1975.43
2025-06-24,Loyalty Win-back,SEO,7816.08,191550,8567,238,33156.56
2025-02-11,Lookalike Scale,Google Ads,5832.52,184441,4426,209,21151.75
2025-04-16,New Customer Acquisition,Meta Ads,1792.7,184769,2277,61,6460.56
2025-06-19,LinkedIn ABM Campaign,SEO,12134.47,244589,11320,677,57183.15
2025-12-04,Display Remarketing,Meta Ads,2597.54,206532,4823,111,8431.28
2025-09-18,Content Sprint,Display,381.49,194561,776,7,535.43
2025-08-15,Brand Awareness Push,Google Ads,2854.44,215240,7376,472,12239.51
2025-11-23,Content Sprint,Email,10550.56,169545,7275,230,60111.46
2025-08-04,Display Remarketing,Email,2184.67,102250,5506,419,14965.84
2025-09-19,Display Remarketing,YouTube,2133.69,202820,4296,89,6949.11
2025-12-31,New Customer Acquisition,Meta Ads,1678.95,176715,2105,87,5023.44
2025-05-14,Summer Sale Blitz,Google Ads,706.0,21455,836,54,4210.6
2025-06-03,New Customer Acquisition,YouTube,3831.03,240006,3345,51,7320.03
2025-04-29,New Customer Acquisition,YouTube,3060.35,227720,2771,19,7607.89
2025-03-30,Brand Awareness Push,Display,539.41,84010,456,10,834.24
2025-06-10,New Customer Acquisition,Email,4907.76,121683,9266,644,35240.63
2025-02-07,Display Remarketing,LinkedIn,552.46,164965,1327,42,728.78
2025-02-07,Brand Awareness Push,Display,50.0,15064,31,0,97.81
2025-01-19,New Customer Acquisition,Google Ads,542.03,32342,1083,82,2892.38
2025-05-24,Brand Awareness Push,YouTube,505.88,107069,1493,35,1405.23
2025-06-28,Summer Sale Blitz,Meta Ads,1143.91,86608,2130,77,4346.14
2025-03-30,Loyalty Win-back,Email,7052.6,122566,5468,597,33755.16
2025-06-18,New Customer Acquisition,YouTube,3037.05,179331,2547,57,9085.97
2025-03-10,New Customer Acquisition,SEO,323.21,12664,308,9,1389.07
2025-11-07,Display Remarketing,Email,519.42,6161,440,51,2645.16
2025-04-03,Brand Awareness Push,LinkedIn,1420.82,230104,1545,70,2781.95
2025-04-27,Lookalike Scale,Meta Ads,3518.05,200807,4683,245,12295.17
2025-01-11,Holiday Flash Promo,SEO,3153.12,89887,3762,226,22914.72
2025-04-26,Retarget Cart Abandon,Display,1572.9,223054,1491,22,2716.46
2025-07-05,Retarget Cart Abandon,Display,1439.31,247984,1224,17,2308.17
2025-11-24,Summer Sale Blitz,Email,5289.8,220693,12150,708,24595.5
2025-04-18,LinkedIn ABM Campaign,Google Ads,2203.2,167587,3152,183,12745.08
2025-04-03,Content Sprint,Display,626.68,154638,563,9,1223.28
2025-10-04,Holiday Flash Promo,Meta Ads,5144.44,245937,4752,200,16754.35
2025-05-29,Loyalty Win-back,LinkedIn,150.69,28047,272,7,279.24
2025-03-07,Content Sprint,Meta Ads,688.15,53887,802,15,2146.46
2025-07-08,Summer Sale Blitz,LinkedIn,339.71,186720,557,18,753.37
2025-11-12,New Customer Acquisition,Email,5734.2,200533,10682,1159,49097.8
2025-05-18,New Customer Acquisition,SEO,7255.77,181231,7257,524,45852.03
2025-05-30,Summer Sale Blitz,LinkedIn,1047.82,152434,1247,32,2654.88
2025-02-17,LinkedIn ABM Campaign,Display,168.93,44903,248,1,192.32
2025-10-03,Lookalike Scale,YouTube,1774.95,220853,2555,61,4545.24
2025-04-05,Retarget Cart Abandon,YouTube,143.46,16067,168,3,253.07
2025-04-03,Retarget Cart Abandon,Meta Ads,2099.48,77219,1579,62,5062.09
2025-12-14,Lookalike Scale,LinkedIn,99.35,22596,218,8,157.18
2025-08-14,Display Remarketing,Display,688.44,137879,619,9,952.58
2025-09-26,Holiday Flash Promo,YouTube,742.79,77528,668,14,2838.35
2025-12-10,Display Remarketing,Email,2220.06,34560,1891,102,11694.88
2025-05-31,Summer Sale Blitz,Email,7862.01,115215,5643,562,39357.07
2025-07-13,Holiday Flash Promo,YouTube,509.1,65859,488,8,1307.65
2025-07-08,Brand Awareness Push,LinkedIn,539.55,125198,1078,35,1296.48
2025-12-14,Summer Sale Blitz,Meta Ads,2331.16,123097,3649,157,7099.59
2025-01-11,LinkedIn ABM Campaign,SEO,1294.42,34143,1473,125,7394.38
2025-07-14,Content Sprint,YouTube,70.7,50873,190,4,223.56
2025-12-03,Content Sprint,Display,324.22,88639,364,7,518.55
2025-10-17,New Customer Acquisition,Email,1348.12,56928,3409,204,6076.95
2025-04-13,New Customer Acquisition,Meta Ads,484.39,20205,522,21,1568.62
2025-12-03,Content Sprint,Meta Ads,1139.03,83193,1292,65,3844.41
2025-12-13,Lookalike Scale,Email,2513.26,88964,5455,516,11205.89
2025-11-22,Holiday Flash Promo,LinkedIn,1218.42,188656,1954,54,3789.35
2025-05-14,Holiday Flash Promo,Display,864.89,185935,904,14,1420.01
2025-06-03,Retarget Cart Abandon,LinkedIn,676.12,163532,1203,32,1733.1
2025-09-01,Retarget Cart Abandon,LinkedIn,834.55,165601,1772,58,1802.33
2025-11-11,Holiday Flash Promo,SEO,1005.46,65436,1998,141,6102.42
2025-09-04,Loyalty Win-back,Meta Ads,4539.82,228030,5279,243,7936.83
2025-04-04,LinkedIn ABM Campaign,Display,1045.72,158242,998,19,1835.5
2025-05-27,Holiday Flash Promo,YouTube,5013.96,219401,3828,65,11763.86
2025-07-18,Holiday Flash Promo,Display,680.95,125006,640,7,1207.75
2025-11-04,Loyalty Win-back,LinkedIn,1284.59,244660,1518,43,2233.76
2025-03-29,Content Sprint,Email,8550.62,162980,10424,858,68430.8
2025-10-25,Brand Awareness Push,Email,9851.19,215839,10502,827,78730.28
2025-02-20,Content Sprint,Meta Ads,1286.8,194712,2949,111,4170.01
2025-06-04,Display Remarketing,Google Ads,2471.76,156818,4549,370,12890.95
2025-04-09,Display Remarketing,Meta Ads,1795.55,221788,4182,108,5258.17
2025-07-21,Brand Awareness Push,YouTube,2509.57,127687,2142,44,7180.12
2025-02-04,Content Sprint,Google Ads,7090.56,183321,7750,609,38107.6
2025-09-03,Holiday Flash Promo,LinkedIn,660.78,91567,968,19,1852.37
2025-10-01,Holiday Flash Promo,Meta Ads,3640.27,201340,3010,113,13843.52
2025-02-26,LinkedIn ABM Campaign,LinkedIn,729.61,135790,920,30,1668.47
2025-01-13,LinkedIn ABM Campaign,Google Ads,9149.02,164803,8084,473,36061.42
2025-07-16,Display Remarketing,YouTube,2920.2,205703,3874,74,8531.63
2025-07-04,Lookalike Scale,Meta Ads,2330.36,188815,5668,95,7245.11
2025-02-13,Holiday Flash Promo,SEO,846.11,26065,966,84,5448.67
2025-02-20,Loyalty Win-back,Display,1238.67,165117,969,14,1010.41
2025-03-12,Content Sprint,YouTube,529.47,59095,752,14,1271.1
2025-10-30,LinkedIn ABM Campaign,LinkedIn,1001.66,179080,1445,39,2347.79
2025-06-02,Brand Awareness Push,LinkedIn,677.06,190688,1029,24,1760.62
2025-04-25,Display Remarketing,Meta Ads,1419.21,143203,2405,111,4121.33
2025-08-24,Holiday Flash Promo,Display,324.54,47130,227,4,597.17
2025-03-20,Display Remarketing,LinkedIn,553.95,148513,926,21,977.82
2025-06-04,Lookalike Scale,Google Ads,1038.97,48153,1595,80,4109.82
2025-05-11,LinkedIn ABM Campaign,YouTube,1436.63,69877,1195,20,1956.7
2025-02-09,Summer Sale Blitz,Display,93.11,33254,72,0,187.43
2025-07-12,Retarget Cart Abandon,Email,15573.1,249185,11197,1013,107358.3
2025-10-22,Loyalty Win-back,SEO,1057.76,46733,1378,67,4806.54
2025-02-16,Content Sprint,YouTube,1498.84,83665,1352,37,5810.22
2025-05-30,Display Remarketing,Email,3581.22,110722,6531,468,15278.79
2025-06-14,Loyalty Win-back,Meta Ads,1487.03,144143,2423,104,5323.85
2025-05-19,Lookalike Scale,Google Ads,506.67,28186,842,63,2214.52
2025-10-03,Lookalike Scale,Display,295.84,68068,269,4,618.85
2025-12-12,New Customer Acquisition,Email,2797.86,101158,6414,433,22967.32
2025-07-25,Summer Sale Blitz,SEO,349.88,11500,612,19,1912.2
2025-10-15,Loyalty Win-back,YouTube,865.24,86025,1197,35,2288.86
2025-10-10,Retarget Cart Abandon,YouTube,1686.11,126664,1887,45,3757.78
2025-08-05,Loyalty Win-back,SEO,4367.91,220146,4322,349,11884.36
2025-08-10,Loyalty Win-back,Display,152.37,109119,166,2,210.87
2025-04-14,Holiday Flash Promo,Google Ads,3401.83,79430,3940,224,20216.39
2025-03-01,Content Sprint,Email,8209.34,168741,9732,474,53879.85
2025-03-20,Display Remarketing,SEO,2001.49,39207,1905,70,11391.89
2025-10-23,Display Remarketing,Meta Ads,7806.87,243732,5717,266,20339.34
2025-06-07,LinkedIn ABM Campaign,Google Ads,239.13,13795,407,18,979.72
2025-04-21,Lookalike Scale,YouTube,1209.79,226232,2967,67,4014.91
2025-11-01,Loyalty Win-back,Google Ads,944.77,43160,1329,69,4192.23
2025-01-24,Retarget Cart Abandon,SEO,16178.68,242344,12077,765,110580.01
2025-11-13,Retarget Cart Abandon,Email,8517.76,178421,6429,620,52553.48
2025-10-18,LinkedIn ABM Campaign,SEO,7499.63,138690,5938,445,17276.0
2025-06-16,New Customer Acquisition,YouTube,437.22,99653,784,16,1353.25
2025-06-12,Retarget Cart Abandon,Display,998.17,233017,1595,20,2191.92
2025-03-21,LinkedIn ABM Campaign,Display,392.77,131360,751,7,602.78
2025-01-24,Retarget Cart Abandon,SEO,2686.24,52805,2540,189,15994.56
2025-10-20,New Customer Acquisition,YouTube,771.83,156358,1330,34,3236.27
2025-06-09,Content Sprint,LinkedIn,1172.88,236694,2145,60,3603.76
2025-08-27,Retarget Cart Abandon,Meta Ads,2607.22,169849,4301,211,7644.43
2025-03-10,New Customer Acquisition,Display,72.04,31291,92,1,47.13
2025-06-27,Lookalike Scale,Google Ads,1657.58,122096,3461,226,7727.2
2025-01-19,Lookalike Scale,Email,8125.15,245439,19632,1450,55513.25
2025-08-25,Holiday Flash Promo,Display,1748.38,196530,1343,19,3796.26
2025-08-30,Holiday Flash Promo,YouTube,2350.09,169604,1944,30,6870.13
2025-09-26,Display Remarketing,Google Ads,1512.93,117628,2572,86,7242.58
2025-09-30,Brand Awareness Push,Google Ads,3079.63,224198,7312,668,19825.48
2025-04-17,LinkedIn ABM Campaign,LinkedIn,776.52,134700,1247,40,2190.93
2025-06-24,New Customer Acquisition,Display,190.92,41119,214,2,240.0
2025-01-26,Display Remarketing,Meta Ads,2479.14,122875,2788,79,6814.9
2025-03-29,LinkedIn ABM Campaign,Meta Ads,1407.5,93398,2123,80,4325.61
2025-04-25,Retarget Cart Abandon,Meta Ads,1274.34,71837,1534,69,2621.26
2025-10-06,Summer Sale Blitz,YouTube,3991.42,232850,4329,79,5209.55
2025-11-21,New Customer Acquisition,YouTube,1391.8,227609,2848,72,2313.0
2025-06-30,Display Remarketing,YouTube,649.09,104803,1580,39,1521.16
2025-10-17,Summer Sale Blitz,Meta Ads,2249.41,212720,3428,189,7303.64
2025-04-08,New Customer Acquisition,Display,423.34,153543,722,6,730.92
2025-03-13,Holiday Flash Promo,Meta Ads,276.61,19196,344,12,732.54
2025-03-06,Brand Awareness Push,Display,1012.57,203937,982,13,1248.51
2025-03-27,Loyalty Win-back,LinkedIn,405.43,72670,463,14,977.92
2025-10-11,Content Sprint,Display,316.59,194103,967,9,610.77
2025-12-29,New Customer Acquisition,LinkedIn,87.32,14467,168,4,204.56
2025-09-30,Retarget Cart Abandon,LinkedIn,826.56,96028,1067,24,1424.34
2025-08-23,Holiday Flash Promo,YouTube,3442.41,174148,2668,59,13133.16
2025-09-24,Summer Sale Blitz,SEO,4454.61,189870,9989,920,30588.79
2025-04-16,Retarget Cart Abandon,Meta Ads,2679.83,200034,3972,143,8236.73
2025-02-19,Summer Sale Blitz,Meta Ads,3129.73,236230,5620,388,8227.07
2025-03-01,Holiday Flash Promo,Google Ads,7846.25,161616,6541,507,20003.81
2025-03-25,Lookalike Scale,Google Ads,711.67,17381,750,31,3404.38
2025-10-13,Retarget Cart Abandon,Google Ads,3907.81,234935,4462,332,13238.6
2025-10-27,Retarget Cart Abandon,Google Ads,3754.19,188591,5673,395,17590.62
2025-08-01,New Customer Acquisition,YouTube,1489.86,101799,1177,20,3987.36
2025-07-10,Holiday Flash Promo,Meta Ads,1608.55,51189,1179,26,7367.01
2025-05-09,LinkedIn ABM Campaign,LinkedIn,1453.73,161364,2105,81,3490.35
2025-04-14,Lookalike Scale,Google Ads,4506.62,198009,6581,237,20647.88
2025-05-03,Brand Awareness Push,Meta Ads,2015.7,153558,3518,115,4967.18
2025-07-25,Content Sprint,LinkedIn,375.56,126423,955,33,875.85
2025-12-11,New Customer Acquisition,LinkedIn,51.96,17465,95,1,134.94
2025-10-12,Holiday Flash Promo,LinkedIn,285.73,65196,331,10,705.15
2025-09-29,Loyalty Win-back,LinkedIn,1084.85,135245,1796,47,2518.26
2025-10-24,Summer Sale Blitz,Display,539.91,90643,525,7,763.01
2025-05-02,New Customer Acquisition,Display,56.5,46438,154,2,125.17
2025-01-28,Summer Sale Blitz,Google Ads,953.02,37472,974,50,4491.36
2025-08-22,Display Remarketing,LinkedIn,714.13,132920,765,19,1648.94
2025-10-18,Holiday Flash Promo,LinkedIn,419.34,68872,559,22,1141.52
2025-11-09,New Customer Acquisition,Email,1739.56,24047,1504,105,9450.17
2025-04-18,Loyalty Win-back,Google Ads,7463.29,144364,6257,434,28438.95
2025-02-19,LinkedIn ABM Campaign,SEO,3899.21,174917,5777,340,20448.13
2025-02-01,Loyalty Win-back,YouTube,648.02,59480,641,21,1392.4
2025-07-02,Summer Sale Blitz,YouTube,2290.93,156831,2358,31,8586.79
2025-01-27,Display Remarketing,Google Ads,1581.38,131343,1745,78,9274.48
2025-06-14,Lookalike Scale,YouTube,681.46,49316,865,10,1857.36
2025-09-25,Holiday Flash Promo,YouTube,83.17,12876,165,3,239.28
2025-04-30,LinkedIn ABM Campaign,Meta Ads,2644.5,162182,3057,125,8197.03
2025-10-03,Display Remarketing,Meta Ads,1491.61,213183,2291,46,4781.37
2025-08-01,Holiday Flash Promo,Email,20041.93,248413,17767,1593,143377.02
2025-03-16,LinkedIn ABM Campaign,LinkedIn,1371.81,134492,944,33,2715.45
2025-11-27,Lookalike Scale,SEO,8017.33,200619,8343,420,44055.23
2025-08-21,Display Remarketing,Email,3914.34,105039,8343,517,28535.16
2025-11-07,Loyalty Win-back,YouTube,273.77,114339,785,15,898.95
2025-03-06,Brand Awareness Push,Google Ads,5155.64,165688,5211,365,23912.34
2025-11-06,Retarget Cart Abandon,Google Ads,370.74,43072,953,66,2144.04
2025-11-22,Retarget Cart Abandon,Email,213.73,7699,423,39,1556.21
2025-08-29,Retarget Cart Abandon,Display,311.31,182580,640,7,678.3
2025-05-12,Holiday Flash Promo,Display,137.37,59981,354,7,131.53
2025-08-24,Brand Awareness Push,YouTube,1209.59,154549,2271,27,2958.36
2025-08-09,Content Sprint,Email,2090.82,65163,3527,241,11796.48
2025-10-28,Lookalike Scale,Google Ads,12073.41,231793,9991,689,44496.85
2025-01-05,New Customer Acquisition,YouTube,1874.24,191939,2371,52,6035.2
2025-11-07,Summer Sale Blitz,Google Ads,780.6,155387,1257,63,2648.16
2025-01-28,Holiday Flash Promo,Email,3740.84,183796,5539,568,20488.35
2025-09-25,Summer Sale Blitz,Google Ads,4499.8,95402,3837,131,27186.75
2025-03-20,Loyalty Win-back,Google Ads,6248.38,215592,7269,309,22346.5
2025-04-05,Summer Sale Blitz,Google Ads,1985.39,174767,2703,146,7797.15
2025-01-27,Display Remarketing,LinkedIn,943.72,121449,1108,35,2362.46
2025-11-04,Summer Sale Blitz,LinkedIn,784.71,114365,719,20,1642.06
2025-02-21,Brand Awareness Push,Meta Ads,395.93,42409,727,32,1121.72
2025-06-01,Lookalike Scale,Email,6571.47,132859,7114,584,47016.39
2025-02-09,Display Remarketing,Display,67.17,8375,58,0,108.14
2025-07-13,Brand Awareness Push,Display,480.57,150411,697,10,559.73
2025-10-13,New Customer Acquisition,Google Ads,5641.67,235889,8484,631,28725.6
2025-08-19,Brand Awareness Push,YouTube,4063.22,232644,5059,89,12376.88
2025-05-03,Summer Sale Blitz,Display,981.86,246973,1205,13,1173.66
2025-12-23,Brand Awareness Push,Meta Ads,2220.97,121344,2541,142,5975.77
2025-06-04,Summer Sale Blitz,YouTube,2849.05,232875,3272,52,6058.75
2025-06-13,Retarget Cart Abandon,Meta Ads,639.88,73474,539,22,1787.86
2025-04-21,Retarget Cart Abandon,Email,394.13,12612,752,71,1957.96
2025-04-07,Lookalike Scale,LinkedIn,619.01,92028,964,42,1190.18
2025-07-28,Brand Awareness Push,Google Ads,1885.66,57388,2001,86,11149.14
2025-03-29,Content Sprint,SEO,6843.81,188042,7813,626,32501.69
2025-09-18,Content Sprint,LinkedIn,2972.41,248237,3196,102,6887.14
2025-08-12,LinkedIn ABM Campaign,YouTube,63.23,8460,134,2,110.84
2025-04-10,New Customer Acquisition,LinkedIn,74.28,13038,100,2,101.4
